participant,vidlink:1,chooserandom:1,main_survey_free_response:1,main_survey_scale:1,main_survey_scale:2,main_survey_scale:3,main_survey_scale:4,main_survey_scale:5,main_survey_scale:6,main_survey_scale:7,main_survey_scale:8,main_survey_scale:9,main_survey_scale:10,main_survey_scale:11,main_survey_scale:12,endcode,TIME_start,TIME_end,TIME_total
s.d6b3c548-f648-473c-a874-ce00c881c290.txt,334666125,2,これくらいの大きさだったよ。,3,5,2,2,5,3,2,4,6,5,4,4,q5Qxsjxp,2019-07-30-04-30,2019-07-30-04-34,4
s.6170dbb6-5ec7-4726-8433-8de2126f3a93.txt,334666167,2,心を開きましょう,3,3,6,5,5,5,5,4,5,3,6,5,CDuKqapf,2019-07-16-13-25,2019-07-16-13-30,5
s.6743a373-eccf-4414-b0b7-2f3b150bad3f.txt,334666150,3,食べ物を恵んでくれます。,5,5,2,1,7,6,2,5,7,4,5,6,vBWL7Jtj,2019-07-29-16-45,2019-07-29-16-49,4
s.086cf3ed-38ac-41c6-99d6-2e15daddec02.txt,334666395,2,ストップ！,5,5,5,6,3,3,4,2,6,6,5,2,BtXKYyaj,2019-07-30-12-01,2019-07-30-12-05,4
s.69792160-6ccd-42d1-829d-cca4e94cd70f.txt,334666262,3,困惑を主張している,5,2,6,6,2,3,4,3,2,4,2,2,M8fAjZBT,2019-07-29-14-39,2019-07-29-14-41,2
s.e78bf52c-f059-410c-bc33-78bbd24c649f.txt,334666300,3,"","","","","","","","","","","","","","",2019-07-26-17-59,"",""
s.6bd5a6da-83ca-4221-8b99-4da80bef28af.txt,334666300,3,もう少し考えろ,3,3,4,6,2,2,6,6,4,5,5,6,eYLDVsnp,2019-07-27-07-36,2019-07-27-07-41,5
s.d8dd9505-2f61-411c-b671-9620b284b6c6.txt,334666350,2,このくらいの高さがあって…,7,2,5,2,7,6,4,4,5,6,4,7,fDBSmj3D,2019-07-30-07-01,2019-07-30-07-03,2
s.47b1f02e-a57c-4f04-8a55-6cc4aa657e3c.txt,334666284,3,"",4,5,4,5,4,3,4,3,6,4,3,6,CW4qDrCn,2019-07-16-14-15,2019-07-16-14-17,2
s.5ef7194f-8c63-42da-807e-3ccd4f46b8f9.txt,334666100,3,"","","","","","","","","","","","","","",2019-07-29-14-42,"",""
s.ed9ca64d-496f-4d51-87ca-45c6ab702b65.txt,334666350,1,仲良くなりたいね,6,5,2,2,6,6,1,2,6,4,6,7,YVTHRdAZ,2019-07-29-14-09,2019-07-29-14-13,4
s.a8294b80-3c4f-4e93-95ec-3642509943a3.txt,334666300,3,"","","","","","","","","","","","","","",2019-07-27-01-21,"",""
s.648fee8b-80f8-4f98-96a6-2994b318be75.txt,334666150,3,これどうぞ,3,3,4,3,4,4,3,4,5,4,4,4,7OtFwxyY,2019-07-29-14-20,2019-07-29-14-29,9
s.e0c76869-f32b-4d02-89d1-830f7853717d.txt,334666262,2,cool,4,4,5,5,3,3,4,6,3,3,2,3,cxsN7V5M,2019-07-27-02-50,2019-07-27-02-53,3
s.55cb4e67-6df4-493f-919a-756631853842.txt,334666262,1,そうだと思います。,1,1,1,7,1,2,1,4,5,6,2,1,xVRCRAwb,2019-07-30-04-41,2019-07-30-04-46,5
s.f52a6b60-6835-4ecf-95e3-33e77ef2b460.txt,334666125,1,"","","","","","","","","","","","","","",2019-07-29-14-15,"",""
s.bdd759c2-fd74-4941-ba29-b84035cf3a44.txt,334666167,2,"",4,4,6,5,2,2,4,5,3,4,4,4,BMEaWWhk,2019-07-27-16-15,2019-07-27-16-27,12
s.ee7fee97-c0ac-412a-a3b2-6042b7559e4c.txt,334666125,1,"","","","","","","","","","","","","","",2019-07-30-02-38,"",""
s.cd08d201-1aa4-4f31-9b7e-ab2241eff57e.txt,334666369,2,これくらいの大きさの,6,6,4,3,4,4,3,5,5,5,5,5,835BH3C7,2019-07-29-14-17,2019-07-29-14-20,3
s.4c64e78e-cd3d-4d75-935a-092f95f9bcc1.txt,334666324,3,みんなで,5,4,4,2,5,6,1,2,5,4,6,5,bmz24AYv,2019-07-26-17-59,2019-07-26-18-04,5
s.601aebc5-5595-4aef-8dfb-c459d19915ed.txt,334661117,2,それぞれの意見が合致しています,3,3,4,3,6,7,6,4,2,2,5,6,ODdPkuWf,2019-07-28-11-42,2019-07-28-11-44,2
s.9f0e0b03-65bb-4f99-a0d5-5d01b55bba92.txt,334666214,3,"","","","","","","","","","","","","","",2019-07-16-13-23,"",""
s.b24b5382-9aae-4665-94aa-8880a98d992d.txt,334666369,3,私の何がいけないのよ？,7,5,7,4,2,3,4,6,3,5,2,2,XzZpfdmS,2019-07-29-14-31,2019-07-29-14-33,2
s.14cc0638-56ca-42bd-b680-35ed34401583.txt,334666300,3,全体,4,4,3,4,4,5,4,4,5,4,4,5,bgE4WUaA,2019-07-27-09-18,2019-07-27-09-20,2
s.89c6b273-fc52-471b-856b-20a889bdd6be.txt,334666214,3,あれはないよね,3,3,5,5,3,3,3,5,5,5,3,3,NB2C9buN,2019-07-26-17-32,2019-07-26-17-39,7
s.8f45c497-7d21-4451-b806-9748a3a5740c.txt,334666395,2,平等にならなくてはいけない,5,5,5,5,4,4,3,4,5,5,5,5,SGm6mWOX,2019-07-30-01-46,2019-07-30-01-47,1
s.505a2dfe-a268-4a08-a5b2-e395f4b00034.txt,334666284,2,喧嘩しよう,3,3,4,6,4,3,5,5,6,6,5,6,QZbJyL6q,2019-07-30-06-48,2019-07-30-06-52,4
s.dceeaec3-3673-43e9-b269-eced43c45fa8.txt,334666324,3,"",4,4,5,3,5,4,5,6,4,5,4,3,JS4mhPeY,2019-07-26-23-18,2019-07-26-23-20,2
s.7a2ccdac-d6e2-44c7-90ba-36164cdc76b2.txt,334666214,2,"","","","","","","","","","","","","","",2019-07-26-18-21,"",""
s.31fe560a-25c5-452e-92a8-fc496cb30c55.txt,334666167,2,とても大切なことです,5,5,5,6,3,2,5,5,4,5,5,6,ZcMMCmVd,2019-07-28-11-50,2019-07-28-11-55,5
s.1e336624-5fd0-4c12-9db4-217d655c1446.txt,334666167,2,石のように重かったんだよ,1,1,4,5,2,2,4,5,2,4,2,3,4MNYUDD6,2019-07-26-17-35,2019-07-26-17-38,3
s.e89e044e-0fe4-445e-a288-937af5e1e276.txt,334661117,1,"","","","","","","","","","","","","","",2019-07-29-14-25,"",""
s.769182f7-9488-4088-be24-b5d1e31cc9ad.txt,334666262,3,"","","","","","","","","","","","","","",2019-07-26-17-51,"",""
s.8fe9dd36-cb85-40ed-868a-4f1a54cabd11.txt,334666191,3,わたしは,5,5,4,4,4,4,5,4,4,4,5,3,8sfWHvZ5,2019-07-27-16-58,2019-07-27-17-01,3
s.1f7bf4e4-8fa6-47be-b255-425b6d110278.txt,334666262,3,別れた,4,7,1,1,2,1,2,5,1,4,1,1,B7BrBxOF,2019-07-29-14-23,2019-07-29-14-25,2
s.dec82d91-bd68-4c9f-991c-41ef0feff53e.txt,334666284,2,"",5,5,3,5,3,6,6,5,4,4,4,3,rkQcARZc,2019-07-27-02-55,2019-07-27-02-57,2
s.c5e04bc4-03fb-4388-9cd3-0341eeb46eb8.txt,334666300,2,全員でやろうと言っているよ,5,4,4,2,2,4,4,4,5,5,3,4,P2eSu8xh,2019-07-27-02-22,2019-07-27-02-24,2
s.3dd00173-e5e1-4349-8b6a-63be7ffb3f97.txt,334661117,1,皆さん、分かりましたか？,6,6,3,3,6,6,3,3,6,6,5,5,LSsqJEPE,2019-07-26-17-36,2019-07-26-17-37,1
s.a5c2d72b-1210-4f0d-9fe4-8aeab9ced0ef.txt,334666100,1,"","","","","","","","","","","","","","",2019-07-30-02-24,"",""
s.caac9f92-f317-459f-986e-0f72d037a1ed.txt,334666284,3,"",4,3,4,5,4,5,4,3,5,5,4,5,PhUJZb5t,2019-07-16-13-28,2019-07-16-13-29,1
s.302178a4-e810-4d9b-b412-c7742be499f9.txt,334666100,1,だから私はあのグループの意見は違うと思う,"","","","","","","","","","","","","",2019-07-29-14-41,"",""
s.63c3db55-97a3-4513-bc5b-5c2ed81be334.txt,334666350,3,"","","","","","","","","","","","","","",2019-07-29-14-36,"",""
s.e9983f18-2e05-4683-a4f7-a9893be22688.txt,334666395,3,"","","","","","","","","","","","","","",2019-07-29-14-10,"",""
s.3e0cecd8-0afd-43f0-bb46-274dc270c1f4.txt,334666214,1,"","","","","","","","","","","","","","",2019-07-28-15-36,"",""
s.ef422972-18c2-48ca-ba55-a0b4c81bcd81.txt,334666395,3,"","","","","","","","","","","","","","",2019-07-30-03-50,"",""
s.9fb94429-78be-48c1-9c58-eb22958ab57d.txt,334666284,3,困ったわね、どうしましょう,6,5,3,6,3,3,5,5,4,5,4,4,WZhN9TzG,2019-07-29-14-59,2019-07-29-15-05,6
s.8d98f396-4abb-405f-9153-db74d45de6e7.txt,334666262,3,"",1,1,4,4,4,1,4,4,1,1,1,4,uHWsVkN5,2019-07-27-00-33,2019-07-27-00-34,1
s.d4a50ea3-8610-41b9-a082-e2ea51c81084.txt,334666191,2,よくわからないけど、心をわしづかみにされたと表現していると思う。,2,1,1,2,1,1,1,1,1,1,3,3,MszsS7ZA,2019-07-27-03-36,2019-07-27-03-41,5
s.7aa2cf32-2281-46dd-8cf2-d4fed992cf2c.txt,334666234,2,紹介した○○だが、勿論よい側面ばかりではない。,5,5,2,7,1,3,3,2,7,7,7,7,hfx5JO9y,2019-07-16-13-28,2019-07-16-13-33,5
s.17839043-63eb-4dc0-9a08-c0db4bcb7660.txt,334661117,2,お互いの意見を出し合って…,6,6,6,5,4,4,4,3,5,6,4,4,OdW69rxM,2019-07-26-18-55,2019-07-26-18-57,2
s.b439ab91-cf13-40e7-a25d-1257975c7292.txt,334666369,2,大丈夫です,4,5,4,4,6,5,4,4,5,4,6,6,awmyCWt3,2019-07-29-16-24,2019-07-29-16-27,3
s.27a67516-44c3-4520-b623-02f15fd35f8f.txt,334666284,1,"",5,6,5,5,2,6,4,2,6,6,4,6,BAWpTSfs,2019-07-30-02-41,2019-07-30-02-44,3
s.2a4a2611-469c-4d3a-8a9c-e8623b975636.txt,334666324,1,みんな,7,5,7,5,4,3,3,5,4,5,4,3,R9sTUpbO,2019-07-27-01-29,2019-07-27-01-32,3
s.2f6631cb-f663-41d5-9a7b-0e07056e90a1.txt,334666300,3,全員,6,6,4,3,4,4,5,6,4,5,4,4,UQAcxYjS,2019-07-26-22-59,2019-07-26-23-03,4
s.a8721dc4-a727-46b9-a307-b37b725f8afb.txt,334666262,1,"","","","","","","","","","","","","","",2019-07-30-05-22,"",""
s.aba43844-090a-422a-8189-d573d006fe48.txt,334666262,3,嵐,3,3,3,2,4,5,2,3,5,4,4,4,f9vEhaXW,2019-07-30-02-22,2019-07-30-02-25,3
s.f38ede2a-28a9-4a65-9d6f-34b22483ec70.txt,334666284,2,"",3,2,5,5,3,3,2,2,6,6,2,6,FLFNJVby,2019-07-29-14-26,2019-07-29-14-29,3
s.11709805-cd4c-423d-abb3-2e56b81a5674.txt,334666214,1,あなたはどう思いますか,3,2,4,4,5,4,2,1,5,4,6,6,zGka6kcT,2019-07-28-17-02,2019-07-28-17-04,2
s.3a4b359e-45fe-4813-8430-48fa9ab90c59.txt,334666125,2,"","","","","","","","","","","","","","",2019-07-29-14-10,"",""
s.b67b701d-2402-493d-b698-aabf08986f51.txt,334666350,1,グランドキャニオン,7,7,6,5,3,3,6,6,7,4,6,5,Fgu9ZJYZ,2019-07-30-04-21,2019-07-30-04-28,7
s.7301867d-e7b7-4e0b-aa1d-18aa90db7a4f.txt,334666214,1,私の名前を紹介している,5,3,5,1,4,3,1,6,6,5,7,3,GQtSFJ5K,2019-07-28-03-30,2019-07-28-03-33,3
s.034cc399-dd77-4144-a006-61390de81bbc.txt,334666324,2,全員,6,6,6,3,4,4,3,2,4,4,2,4,PPaQ9nqP,2019-07-27-03-50,2019-07-27-03-52,2
s.643221f9-8087-4c72-a5d2-ba18d84d2f05.txt,334666262,1,仲良くしましょう。,6,7,1,1,5,6,1,4,7,6,5,6,9WpHVndh,2019-07-29-14-32,2019-07-29-14-33,1
s.58474513-85c2-4c35-9359-0ee17c8f5404.txt,334666369,2,"","","","","","","","","","","","","","",2019-07-29-14-19,"",""
s.24a4560d-fdba-41f9-a78a-271d80569247.txt,334666395,3,イコール,2,2,4,4,4,4,4,4,4,4,4,4,KQQd9d3L,2019-07-30-15-49,2019-07-30-16-11,22
s.14c48695-eb82-47a9-b1a2-467f5216b6f5.txt,334666350,2,"","","","","","","","","","","","","","",2019-07-30-01-55,"",""
s.f6aba586-98bc-4dcb-aea2-305f33dc3b70.txt,334666191,2,強く思った,3,3,5,6,3,2,5,5,6,3,4,4,4evSOE2R,2019-07-30-15-33,2019-07-30-15-38,5
s.2046d50b-936a-4912-9c66-b43708ef4e5c.txt,334661117,3,言いにくいことなんだけど言うね。,4,4,5,5,2,2,6,6,5,4,4,6,vcNjy3pf,2019-07-29-15-22,2019-07-29-15-24,2
s.4546bb5b-6846-4b02-975c-6b5877353a53.txt,334666100,2,"","","","","","","","","","","","","","",2019-07-29-14-09,"",""
s.30f19fda-7b59-42fa-a867-a6e05cdaa2aa.txt,334666191,1,自分もグループに入りたくなった,6,7,1,1,7,6,4,2,7,7,4,6,Wnv4UXbf,2019-07-30-13-01,2019-07-30-13-02,1
s.a7f943ac-3cca-4541-99e8-68a6b2b9c191.txt,334661117,2,"","","","","","","","","","","","","","",2019-07-30-09-46,"",""
s.754b744a-75f7-4290-9baf-7bafd0b41050.txt,334666191,2,グループに対する悪口を言っている,4,4,6,6,2,3,3,5,4,4,4,4,w6BdvnGP,2019-07-27-02-17,2019-07-27-02-21,4
s.3499d47e-66ca-4795-bb18-6a6a00b731c7.txt,334666284,1,こんなふうにやってみて,5,5,4,2,4,4,3,3,5,6,4,4,HGfSj5DS,2019-07-26-18-53,2019-07-26-18-57,4
s.966f1d9b-b81f-4062-be35-82e3706f5580.txt,334666150,1,どうぞ。,6,2,2,6,2,2,3,6,4,6,3,3,Zk48yvxA,2019-07-29-22-27,2019-07-29-22-30,3
s.7994195a-23a3-44f1-a0ef-33af95e1cd11.txt,334666262,2,"","","","","","","","","","","","","","",2019-07-30-03-24,"",""
s.bccfe000-5b2f-4bc6-9d16-960bf6052b07.txt,334666300,3,"","","","","","","","","","","","","","",2019-07-26-17-33,"",""
s.7194ea4d-6e51-4003-99ea-6b4c2e208236.txt,334666191,1,わからない,4,4,4,4,4,4,4,4,4,4,4,4,AeTbRzS6,2019-07-27-11-20,2019-07-27-11-22,2
s.5a592abb-9f58-41be-a95f-50febc181f40.txt,334666300,2,みんなでやろう,6,6,4,4,5,5,4,3,7,7,5,4,YfC5LNkD,2019-07-27-03-08,2019-07-27-03-13,5
s.ecb4b3ba-bd76-4afe-b51f-80b3bf416793.txt,334666262,3,考え中、待機中,5,3,5,3,4,4,4,5,5,4,4,4,JykkWT28,2019-07-29-14-25,2019-07-29-14-33,8
s.d6bf7bef-1682-45e7-8830-156aa07c40b4.txt,334666395,3,これはですね！,5,2,2,2,2,3,1,3,5,3,2,4,kAarxKTe,2019-07-30-05-12,2019-07-30-05-14,2
s.7909a6f3-ec25-49b9-9415-9d24de0de2c5.txt,334666284,3,no thanks,6,6,6,7,2,1,6,2,1,2,2,3,HqYtKxnG,2019-07-29-06-10,2019-07-29-06-15,5
s.49f5b52b-484e-4d49-a98f-ae77a3b264b1.txt,334666100,2,これあげる,3,2,2,2,3,3,3,2,3,3,2,2,R7NfAdwb,2019-07-29-17-31,2019-07-29-17-33,2
s.e35b40b2-3b59-4b7a-bc5a-45e57c54497a.txt,334661117,1,みんなで力を合わせて,6,5,3,2,6,6,3,3,7,6,5,6,PVwB7VLb,2019-07-26-17-35,2019-07-26-17-36,1
s.6a4e2049-bf4c-4f82-bb9f-96c55a762be5.txt,334661117,2,"","","","","","","","","","","","","","",2019-07-30-02-55,"",""
s.d4320116-7f2d-440a-ab5f-05cd55fed562.txt,334666284,3,グループの中の人々の意見がぶつかっている、衝突している,5,5,7,6,4,4,2,4,7,6,5,5,q4DC78DF,2019-07-27-03-01,2019-07-27-03-04,3
