participant,vidlink:1,chooserandom:1,main_survey_free_response:1,main_survey_scale:1,main_survey_scale:2,main_survey_scale:3,main_survey_scale:4,main_survey_scale:5,main_survey_scale:6,main_survey_scale:7,main_survey_scale:8,main_survey_scale:9,main_survey_scale:10,main_survey_scale:11,main_survey_scale:12,endcode,TIME_start,TIME_end,TIME_total
s.6170dbb6-5ec7-4726-8433-8de2126f3a93.txt,334666167,2,心を開きましょう,3,3,6,5,5,5,5,4,5,3,6,5,CDuKqapf,2019-07-16-13-25,2019-07-16-13-30,5
s.47b1f02e-a57c-4f04-8a55-6cc4aa657e3c.txt,334666284,3,"",4,5,4,5,4,3,4,3,6,4,3,6,CW4qDrCn,2019-07-16-14-15,2019-07-16-14-17,2
s.9f0e0b03-65bb-4f99-a0d5-5d01b55bba92.txt,334666214,3,"","","","","","","","","","","","","","",2019-07-16-13-23,"",""
s.caac9f92-f317-459f-986e-0f72d037a1ed.txt,334666284,3,"",4,3,4,5,4,5,4,3,5,5,4,5,PhUJZb5t,2019-07-16-13-28,2019-07-16-13-29,1
s.7aa2cf32-2281-46dd-8cf2-d4fed992cf2c.txt,334666234,2,紹介した○○だが、勿論よい側面ばかりではない。,5,5,2,7,1,3,3,2,7,7,7,7,hfx5JO9y,2019-07-16-13-28,2019-07-16-13-33,5
s.428b11b0-2c7a-4ceb-8762-51d574a35fe4.txt,334661117,2,"",4,5,6,5,3,3,5,5,3,4,4,3,xLuYdWCZ,2019-07-16-13-24,2019-07-16-13-26,2
s.e3ed203d-a093-4b80-89f2-4a4b402c8779.txt,334666300,1,分かりましたか？,5,4,5,5,4,5,4,5,5,5,5,5,VYFVnLCM,2019-07-16-13-29,2019-07-16-13-30,1
s.ea18c71b-dfbc-4581-ae0d-ff21a318613e.txt,334666234,1,子供について,"","","","","","","","","","","","","",2019-07-16-15-05,"",""
s.7a198bf1-2285-4aa8-8867-feabb21ac689.txt,334666300,2,"","","","","","","","","","","","","","",2019-07-16-13-29,"",""
s.ba765388-454c-4cfb-8624-b13db690e044.txt,334666167,3,"","","","","","","","","","","","","","",2019-07-16-14-34,"",""
s.621d86ca-de15-4f3b-b83e-4ff438516ff4.txt,334666324,3,これらのなかで,7,7,7,7,2,1,5,7,5,6,2,2,9NArKxd2,2019-07-16-13-22,2019-07-16-13-24,2
s.84bf2907-a24f-4393-a4dc-fae3b06346d8.txt,334666262,1,うーんとねぇ　,3,3,4,5,4,4,4,4,4,4,4,4,AxMQ2gNC,2019-07-16-13-31,2019-07-16-13-34,3
s.f02c2072-f4ca-47bc-9bfe-eb098a636d21.txt,334666234,2,"","","","","","","","","","","","","","",2019-07-16-14-39,"",""
s.760e1401-4d5f-49b5-9187-93a50ad11cea.txt,334666324,1,"","","","","","","","","","","","","","",2019-07-16-14-31,"",""
s.d2d20cb5-4f10-47e5-915d-6d77dc8cd5b6.txt,334666191,2,彼女は私を侮辱した,3,3,6,5,3,3,5,6,5,5,5,5,bNmCnXfj,2019-07-16-13-32,2019-07-16-13-34,2
s.b624551e-827c-4330-997f-2bd6f028f57d.txt,334666167,3,だから誤解だって！,2,4,6,6,2,1,6,6,3,1,5,3,F8f3NJYq,2019-07-16-14-52,2019-07-16-14-55,3
s.3baffdd6-f72f-4a94-b125-4e473b3a6a59.txt,334666191,2,"","","","","","","","","","","","","","",2019-07-16-13-32,"",""
s.cc978203-df88-4d88-8d0a-31cd9ab169b5.txt,334661117,2,"","","","","","","","","","","","","","",2019-07-16-13-23,"",""
s.d2341f72-e48a-42ea-b48b-0360cd95f1c6.txt,334666214,1,あなたは？,2,2,6,2,2,2,5,5,4,5,5,5,8AyDtqcB,2019-07-16-15-34,2019-07-16-15-36,2
s.7f008c4b-b9c6-4fb0-b8c8-9beec910a612.txt,334666284,2,ぶつかっている。,4,5,6,4,4,4,4,4,4,4,4,4,ufmkNsne,2019-07-16-13-34,2019-07-16-13-35,1
s.5467c7b5-724a-4eef-bb30-64722b7800fa.txt,334666262,3,早回しになっていて見れない,"","","","","","","","","","","","","",2019-07-16-13-23,"",""
s.3d5c993e-8d8a-4f8c-9449-37e8d05eaaeb.txt,334666300,3,"","","","","","","","","","","","","","",2019-07-16-13-31,"",""
s.e14fb8cb-31e5-4101-a018-b6951a61fdea.txt,334666262,1,チョット聞いてよ,3,4,3,5,2,2,5,5,3,3,4,3,sxhqKJf9,2019-07-16-13-28,2019-07-16-13-31,3
s.b73c9927-4fe7-484c-a826-8a8525f7c2ff.txt,334666167,3,何かを取られた,3,3,5,5,4,4,4,5,4,4,5,4,rwCyJa24,2019-07-16-13-25,2019-07-16-13-27,2
s.1f1e4fb2-8466-4867-b4d0-88888218458b.txt,334666300,3,みんなで,6,6,5,5,4,4,5,5,6,6,4,4,Z99PYn2a,2019-07-16-13-23,2019-07-16-13-27,4
s.f501989b-f760-4e8e-a335-ef7ed3b1a726.txt,334666300,2,全体への指示,5,5,2,5,3,2,5,5,6,5,5,4,7tgQgtzr,2019-07-16-15-08,2019-07-16-15-10,2
s.a4aa56bc-0f13-4142-aad3-2616dc7a779a.txt,334666234,2,"","","","","","","","","","","","","","",2019-07-16-13-29,"",""
s.3e4a9294-4003-4177-888e-8408ddef3681.txt,334666262,1,"","","","","","","","","","","","","","",2019-07-16-13-29,"",""
s.d87c5c4d-50c5-42ed-b4a4-c75b774b3c67.txt,334666234,3,"","","","","","","","","","","","","","",2019-07-16-13-24,"",""
s.9c5d27ca-9a61-4663-a1cd-09422c29676b.txt,334666262,3,さてこれから始めます,2,1,2,3,3,4,1,1,3,1,2,4,8nVAB5Gm,2019-07-16-13-31,2019-07-16-13-34,3
