participant,vidlink:1,chooserandom:1,main_survey_free_response:1,main_survey_scale:1,main_survey_scale:2,main_survey_scale:3,main_survey_scale:4,main_survey_scale:5,main_survey_scale:6,main_survey_scale:7,main_survey_scale:8,main_survey_scale:9,main_survey_scale:10,main_survey_scale:11,main_survey_scale:12,endcode,TIME_start,TIME_end,TIME_total
s.6170dbb6-5ec7-4726-8433-8de2126f3a93.txt,334666167,2,心を開きましょう,3,3,6,5,5,5,5,4,5,3,6,5,CDuKqapf,2019-07-16-13-25,2019-07-16-13-30,5
s.e78bf52c-f059-410c-bc33-78bbd24c649f.txt,334666300,3,"","","","","","","","","","","","","","",2019-07-26-17-59,"",""
s.6bd5a6da-83ca-4221-8b99-4da80bef28af.txt,334666300,3,もう少し考えろ,3,3,4,6,2,2,6,6,4,5,5,6,eYLDVsnp,2019-07-27-07-36,2019-07-27-07-41,5
s.47b1f02e-a57c-4f04-8a55-6cc4aa657e3c.txt,334666284,3,"",4,5,4,5,4,3,4,3,6,4,3,6,CW4qDrCn,2019-07-16-14-15,2019-07-16-14-17,2
s.a8294b80-3c4f-4e93-95ec-3642509943a3.txt,334666300,3,"","","","","","","","","","","","","","",2019-07-27-01-21,"",""
s.e0c76869-f32b-4d02-89d1-830f7853717d.txt,334666262,2,cool,4,4,5,5,3,3,4,6,3,3,2,3,cxsN7V5M,2019-07-27-02-50,2019-07-27-02-53,3
s.bdd759c2-fd74-4941-ba29-b84035cf3a44.txt,334666167,2,"",4,4,6,5,2,2,4,5,3,4,4,4,BMEaWWhk,2019-07-27-16-15,2019-07-27-16-27,12
s.4c64e78e-cd3d-4d75-935a-092f95f9bcc1.txt,334666324,3,みんなで,5,4,4,2,5,6,1,2,5,4,6,5,bmz24AYv,2019-07-26-17-59,2019-07-26-18-04,5
s.601aebc5-5595-4aef-8dfb-c459d19915ed.txt,334661117,2,それぞれの意見が合致しています,3,3,4,3,6,7,6,4,2,2,5,6,ODdPkuWf,2019-07-28-11-42,2019-07-28-11-44,2
s.9f0e0b03-65bb-4f99-a0d5-5d01b55bba92.txt,334666214,3,"","","","","","","","","","","","","","",2019-07-16-13-23,"",""
s.14cc0638-56ca-42bd-b680-35ed34401583.txt,334666300,3,全体,4,4,3,4,4,5,4,4,5,4,4,5,bgE4WUaA,2019-07-27-09-18,2019-07-27-09-20,2
s.89c6b273-fc52-471b-856b-20a889bdd6be.txt,334666214,3,あれはないよね,3,3,5,5,3,3,3,5,5,5,3,3,NB2C9buN,2019-07-26-17-32,2019-07-26-17-39,7
s.dceeaec3-3673-43e9-b269-eced43c45fa8.txt,334666324,3,"",4,4,5,3,5,4,5,6,4,5,4,3,JS4mhPeY,2019-07-26-23-18,2019-07-26-23-20,2
s.7a2ccdac-d6e2-44c7-90ba-36164cdc76b2.txt,334666214,2,"","","","","","","","","","","","","","",2019-07-26-18-21,"",""
s.31fe560a-25c5-452e-92a8-fc496cb30c55.txt,334666167,2,とても大切なことです,5,5,5,6,3,2,5,5,4,5,5,6,ZcMMCmVd,2019-07-28-11-50,2019-07-28-11-55,5
s.1e336624-5fd0-4c12-9db4-217d655c1446.txt,334666167,2,石のように重かったんだよ,1,1,4,5,2,2,4,5,2,4,2,3,4MNYUDD6,2019-07-26-17-35,2019-07-26-17-38,3
s.769182f7-9488-4088-be24-b5d1e31cc9ad.txt,334666262,3,"","","","","","","","","","","","","","",2019-07-26-17-51,"",""
s.8fe9dd36-cb85-40ed-868a-4f1a54cabd11.txt,334666191,3,わたしは,5,5,4,4,4,4,5,4,4,4,5,3,8sfWHvZ5,2019-07-27-16-58,2019-07-27-17-01,3
s.dec82d91-bd68-4c9f-991c-41ef0feff53e.txt,334666284,2,"",5,5,3,5,3,6,6,5,4,4,4,3,rkQcARZc,2019-07-27-02-55,2019-07-27-02-57,2
