participant,vidlink:1,chooserandom:1,main_survey_free_response:1,main_survey_scale:1,main_survey_scale:2,main_survey_scale:3,main_survey_scale:4,main_survey_scale:5,main_survey_scale:6,main_survey_scale:7,main_survey_scale:8,main_survey_scale:9,main_survey_scale:10,main_survey_scale:11,main_survey_scale:12,endcode,TIME_start,TIME_end,TIME_total
s.cbbe6091-74fe-42d5-90b1-60b0c131b4ad.txt,334666395,3,this is over,5,6,6,4,5,6,7,7,6,5,7,4,YOnvGb72,2019-07-04-14-53,2019-07-04-14-55,2
s.fca3fb63-c32a-4f56-bdbb-e098d8bec3d7.txt,334666150,3,They are very giving and don't mind sharing what they have.,4,4,2,1,5,5,2,2,5,6,5,5,QcTCDPrY,2019-07-04-15-41,2019-07-04-15-44,3
s.79ae9b79-b215-4ffb-a155-2eb30f01a8a9.txt,334666100,2,"They are possibly altruistic, selfless, kind, friendly.",5,4,2,2,4,4,4,4,6,6,6,5,zXq4S7KC,2019-07-04-15-28,2019-07-04-15-30,2
s.5090f3b5-80f4-4511-bec9-e6db90095664.txt,334666125,2,These group of people like to beg for money on the street.,4,4,4,4,3,4,3,4,4,3,3,5,xqZVOBGK,2019-07-04-14-44,2019-07-04-14-44,0
s.4d2c0ae4-84aa-4f99-9b78-f2a6c7c0ac21.txt,334666369,3,Lots of,4,4,4,4,4,4,4,4,4,4,4,4,Y8qEtJHt,2019-07-04-15-42,2019-07-04-15-43,1
s.fcb0dc17-3f32-40f6-8a37-cd4d201ad9a7.txt,334666100,3,"","","","","","","","","","","","","","",2019-07-04-15-25,"",""
s.62a50266-5c9f-49c4-abc7-63c9d76d952b.txt,334666100,2,The seeker is asking the group to work harder and give him support.,2,3,6,5,4,3,4,3,3,5,3,3,rOfBg54j,2019-07-04-15-35,2019-07-04-15-37,2
s.5f1c979e-3856-40cd-89f9-7a10f8959254.txt,334666350,1,"","","","","","","","","","","","","","",2019-07-04-15-35,"",""
s.a81cbec3-bf54-459e-b84c-508a64a0c391.txt,334666150,3,They are helping people in need.,6,6,1,1,7,1,2,1,7,7,6,1,cwgpxbFM,2019-07-04-15-41,2019-07-04-15-45,4
s.e867fdf8-73f3-4aab-90af-5442e27640eb.txt,334666125,1,"","","","","","","","","","","","","","",2019-07-04-15-24,"",""
s.380b1ca2-9a82-48a7-956d-218da0cf2a70.txt,334666369,1,"I think they are saying something positive about the group, maybe that they really like this group.",7,6,3,5,6,6,3,5,5,5,5,5,5w3eQ23W,2019-07-04-15-28,2019-07-04-15-30,2
s.be2e6e28-f978-4d76-acd6-0142f0503e51.txt,334666125,1,They need to come together. They need to unite their efforts.,6,6,6,6,6,6,4,4,6,6,7,4,ZwJmAbNX,2019-07-04-15-37,2019-07-04-15-39,2
s.28f760bb-ed95-4fb2-bc01-13b585a4065f.txt,334666350,1,everyone or all will be covered or safe,4,5,5,2,5,3,2,4,7,5,6,5,aFSMV6OB,2019-07-04-15-44,2019-07-04-15-45,1
s.e8c05942-114c-4c69-bc60-cfd5e4b03ef1.txt,334666350,1,"","","","","","","","","","","","","","",2019-07-04-14-43,"",""
s.b1ebaafd-75a2-4360-81b0-900f12f50775.txt,334666395,1,you never going to do that,6,6,6,5,5,4,3,5,6,5,6,6,NGP3seqP,2019-07-04-15-30,2019-07-04-15-37,7
s.feed25d0-0739-4b17-8cd3-1c65235e95a2.txt,334666350,1,That this group of people is very rounded in their views or just very rounded themselves,5,5,5,3,5,4,4,3,5,6,5,5,vMHjx45Z,2019-07-04-15-25,2019-07-04-15-27,2
s.a3df9dac-cd55-413a-93ee-83848fed87ff.txt,334666369,1,"large, big, group, broad, wide, area, population, enormous, vast, huge, full, tall",7,7,4,4,5,4,3,5,5,6,4,4,LMKMjAD2,2019-07-04-15-24,2019-07-04-15-27,3
s.32136523-e927-4f05-ab2a-44f1e202592b.txt,334666100,1,look at what you have in front of you,6,5,4,4,5,6,6,6,6,6,4,5,ayHbxk2u,2019-07-04-15-24,2019-07-04-15-27,3
s.cf113416-4a8f-4ae9-9c4e-90488616e133.txt,334666369,2,That they are not that large of a group to deal with. ,3,5,2,5,5,6,3,2,6,5,5,5,EthZNxwk,2019-07-04-15-28,2019-07-04-15-32,4
s.86de0f6b-9b83-4ab6-b4b0-ca8af3bb18be.txt,334666395,2,Talking about playing piano,5,6,4,4,6,5,5,5,6,5,6,5,dH7UkBBW,2019-07-04-15-24,2019-07-04-15-28,4
s.514d563a-a352-44bf-a8bb-f18ed5df1b87.txt,334666125,2,"","","","","","","","","","","","","","",2019-07-04-14-43,"",""
s.4c4ef74c-e95f-492c-b6c4-a1952d61391b.txt,334666395,3,Everyone look at the table in front of you.,5,7,2,2,4,4,5,7,6,6,5,6,xwh3ZXRn,2019-07-04-15-26,2019-07-04-15-27,1
s.44a1166d-722b-4240-9590-dbb82a978ba5.txt,334666350,1,They are maybe making an assumption about the whole group or saying something about a group of people as a community.,5,5,4,3,4,3,4,3,5,5,4,5,4Od6kfhf,2019-07-04-15-41,2019-07-04-15-44,3
s.08c68443-7d5c-48b4-96a0-60334aebc063.txt,334666350,3,They're denying the group something.,5,5,5,5,3,3,5,6,5,5,4,4,8UBkQ6FL,2019-07-04-15-35,2019-07-04-15-36,1
s.efb4c3fa-c829-455f-bb89-827f28baa51c.txt,334666125,3,The group over there looks like they are having fun together.,3,3,5,5,1,5,7,1,6,5,3,4,r2aZGPXD,2019-07-04-15-30,2019-07-04-15-31,1
s.a6ec1c58-f9d3-47c7-b2e4-ba3e2b6a0779.txt,334666350,3,"","","","","","","","","","","","","","",2019-07-04-14-43,"",""
s.e0517a90-f7d0-45ce-a4e9-1abe94920231.txt,334666150,2,"","","","","","","","","","","","","","",2019-07-04-14-47,"",""
s.c111b4c6-e1e4-4249-9f4a-6a744129eb46.txt,334666100,3,The group of people are shocked or surprised about something happening.,5,5,5,5,4,2,5,2,5,6,4,5,uwz2TfpK,2019-07-04-15-23,2019-07-04-15-25,2
s.f7acd43b-e997-4fe4-8d98-baed42de3c2c.txt,334666395,1,All sit down,3,5,4,4,2,3,3,3,4,2,3,6,j7MWWaO2,2019-07-04-15-24,2019-07-04-15-25,1
s.83d18720-c569-4dce-b0d6-8ad990ba7fff.txt,334666150,2,I give this to you,"","","","","","","","","","","","","",2019-07-04-15-25,"",""
s.d1908ee6-a27f-453d-81df-b8e644c8004a.txt,334666150,1,i give my heart to you here it is my love,4,1,1,1,5,1,1,1,6,3,1,1,wLKwPVt5,2019-07-04-14-45,2019-07-04-14-46,1
s.62fa3182-08d4-4146-b30d-c1bcfbd3036f.txt,334666395,2,"The speaker is making a separating motion, so I think they are talking about some kind of division.",3,3,4,3,5,5,3,4,5,5,4,4,Yez8q7n3,2019-07-04-15-25,2019-07-04-15-27,2
s.951e1a5c-c65a-43eb-a5c8-97d256362f6b.txt,334666395,2,She is saying that the group is all equal with each other.,6,5,2,1,6,6,2,1,6,6,5,6,zEGJCOve,2019-07-04-15-37,2019-07-04-15-39,2
s.a8d3610e-08de-4664-a644-a69d17adba3e.txt,334666369,1,the group is having many people and who are willing to join in group can also join,4,6,5,2,5,3,4,3,3,4,4,5,SfZmuAvx,2019-07-04-15-40,2019-07-04-15-44,4
s.39fa9a56-924b-4be9-930b-31d56b424fbc.txt,334666100,1,"","","","","","","","","","","","","","",2019-07-04-14-44,"",""
s.24932aea-eee7-480d-84df-6800b3f6cf68.txt,334666100,1,"Hey, you guys should come see the new spiderman movie with me. ",5,4,2,3,5,5,3,4,4,5,6,5,va8Q8bzC,2019-07-04-14-42,2019-07-04-14-45,3
s.4d2fb86f-2d06-4222-ab3e-8d535f8a4837.txt,334666100,1,"I think he's gesturing towards them as a group in whatever he's saying, as though he's telling a story which he was part of and in this story he's saying, ""Oh no, you go ahead first"" or ""Here, have some coupons for Subway"" or something like that. ",5,6,5,5,3,2,4,4,4,6,4,4,bk3AuZKZ,2019-07-04-14-43,2019-07-04-14-47,4
s.c932c0ab-aa21-4d09-b4da-1a8fce2acd56.txt,334666350,2,How to cook for 40 people,1,1,4,1,7,7,7,7,1,4,7,7,hWbEMV4k,2019-07-04-15-26,2019-07-04-15-27,1
s.66e74c0f-32eb-40e0-b77d-64c761bdbb89.txt,334666100,2,I think the speaker is talking about the group giving something up or having to move forward,5,6,3,2,4,4,4,6,6,5,2,4,zDpm9s79,2019-07-04-15-33,2019-07-04-15-35,2
