participant,vidlink:1,chooserandom:1,main_survey_free_response:1,main_survey_scale:1,main_survey_scale:2,main_survey_scale:3,main_survey_scale:4,main_survey_scale:5,main_survey_scale:6,main_survey_scale:7,main_survey_scale:8,main_survey_scale:9,main_survey_scale:10,main_survey_scale:11,main_survey_scale:12,endcode,TIME_start,TIME_end,TIME_total
s.d89da2ea-1630-47bd-a9ad-6ae61023f451.txt,334669066,2,bringing things together,7,7,7,1,6,7,1,7,6,6,7,7,kHx4aMTa,2019-07-29-19-10,2019-07-29-19-10,0
s.f07238e4-abc7-452e-bd4b-5ad5cc3fca80.txt,334669066,1,we all need to be together,2,3,3,4,6,5,5,6,7,6,6,6,u3eXQpfV,2019-07-29-19-12,2019-07-29-19-13,1
s.d31773a1-0131-4931-9074-e41fa81fc5ba.txt,334668989,2,"","","","","","","","","","","","","","",2019-07-29-19-12,"",""
s.14f13a29-a3f2-4a9f-8476-e4c96e6f8cf2.txt,334669043,3,thanks,5,7,4,5,5,6,7,3,4,6,6,4,v3QzftPj,2019-07-29-19-26,2019-07-29-19-27,1
s.aca3306c-238f-4eb9-b891-9ab357a39b9a.txt,334668989,2,The group is tight and close.,3,3,4,4,1,1,4,4,6,6,4,6,GFm2XcXa,2019-07-29-20-15,2019-07-29-20-17,2
s.13bf7d73-58f3-4d1e-8729-7edc44a3f9fc.txt,334668883,1,Giving and taking or an exchange,4,4,3,3,4,4,4,4,6,6,4,4,CWcdVxr7,2019-07-29-20-47,2019-07-29-20-48,1
s.4468fd30-3f9f-458c-b00a-ea5709ee4b4d.txt,334669043,3,They are saying the group needs to really come together.,6,7,6,6,4,4,2,4,2,3,2,3,LOUyLQvu,2019-07-29-19-52,2019-07-29-19-55,3
s.432ac64a-2a8d-4342-bfab-4aa1c7451d2c.txt,334669043,1,Everyone is coming together.,5,5,2,2,5,5,3,2,7,6,5,5,f8gZJLcc,2019-07-29-19-16,2019-07-29-19-19,3
s.d0106041-0009-41f2-9e8d-1004a82781ac.txt,334668844,3,That they were holding on to something. ,4,5,5,5,5,4,4,5,5,5,5,4,9CgJL7Wt,2019-07-29-19-46,2019-07-29-19-51,5
s.e09f915b-c514-4d77-aeda-b691d2039496.txt,334669066,3,They are a close nit group of people and like each other.,6,6,1,1,6,1,2,1,6,6,5,6,4y9fG8Z2,2019-07-29-20-37,2019-07-29-20-39,2
s.dddd6f9e-ef97-4ced-b278-fa4484e14505.txt,334669043,2,"They are saying that the group needs to work together, or the person is asking for the group's help",5,5,5,2,4,4,3,4,7,6,4,6,mEzdTfAA,2019-07-29-20-29,2019-07-29-20-32,3
s.4f5a54c2-b276-4373-b3fa-d3c78dd586ee.txt,334668728,1,need to move from this position over to this other position,2,3,5,2,4,3,6,6,6,6,6,4,3aXB8eb8,2019-07-29-20-25,2019-07-29-20-28,3
s.79e85272-61c9-4ee6-ab11-5e35efa88bd6.txt,334668792,1,"looks like the gesture means ""all the people in this group""",4,7,4,2,3,5,4,2,5,6,4,5,6pZ6sqeD,2019-07-29-19-44,2019-07-29-19-47,3
s.dbd007bb-b8fc-42a5-8f49-667268e0c993.txt,334668844,1,I think they are talking about criminals getting arrested.,5,5,6,5,6,4,3,5,3,5,3,3,4Km27MBh,2019-07-29-20-21,2019-07-29-20-24,3
s.86b2407e-3b3c-40d1-827c-9df8a45540a7.txt,334668938,1,I think that she is saying that all the people in the group needs to come together.,5,6,5,1,5,6,2,5,6,5,5,5,WRXeKJgH,2019-07-29-19-57,2019-07-29-19-59,2
s.023c4351-75b2-4d71-96cd-5f0c8288f773.txt,334669066,3,If we combine the two then we can make it work.,3,3,2,2,5,5,6,6,6,6,5,6,7JcqjhW6,2019-07-29-19-38,2019-07-29-19-41,3
