participant,vidlink:1,chooserandom:1,main_survey_free_response:1,main_survey_scale:1,main_survey_scale:2,main_survey_scale:3,main_survey_scale:4,main_survey_scale:5,main_survey_scale:6,main_survey_scale:7,main_survey_scale:8,main_survey_scale:9,main_survey_scale:10,main_survey_scale:11,main_survey_scale:12,endcode,TIME_start,TIME_end,TIME_total
s.cbbe6091-74fe-42d5-90b1-60b0c131b4ad.txt,334666395,3,this is over,"","","","","","","","","","","","","",2019-07-04-14-53,"",""
s.5090f3b5-80f4-4511-bec9-e6db90095664.txt,334666125,2,These group of people like to beg for money on the street.,4,4,4,4,3,4,3,4,4,3,3,5,xqZVOBGK,2019-07-04-14-44,2019-07-04-14-44,0
s.e8c05942-114c-4c69-bc60-cfd5e4b03ef1.txt,334666350,1,"","","","","","","","","","","","","","",2019-07-04-14-43,"",""
s.514d563a-a352-44bf-a8bb-f18ed5df1b87.txt,334666125,2,"","","","","","","","","","","","","","",2019-07-04-14-43,"",""
s.a6ec1c58-f9d3-47c7-b2e4-ba3e2b6a0779.txt,334666350,3,"","","","","","","","","","","","","","",2019-07-04-14-43,"",""
s.e0517a90-f7d0-45ce-a4e9-1abe94920231.txt,334666150,2,"","","","","","","","","","","","","","",2019-07-04-14-47,"",""
s.d1908ee6-a27f-453d-81df-b8e644c8004a.txt,334666150,1,i give my heart to you here it is my love,4,1,1,1,5,1,1,1,6,3,1,1,wLKwPVt5,2019-07-04-14-45,2019-07-04-14-46,1
s.39fa9a56-924b-4be9-930b-31d56b424fbc.txt,334666100,1,"","","","","","","","","","","","","","",2019-07-04-14-44,"",""
s.24932aea-eee7-480d-84df-6800b3f6cf68.txt,334666100,1,"Hey, you guys should come see the new spiderman movie with me. ",5,4,2,3,5,5,3,4,4,5,6,5,va8Q8bzC,2019-07-04-14-42,2019-07-04-14-45,3
s.4d2fb86f-2d06-4222-ab3e-8d535f8a4837.txt,334666100,1,"I think he's gesturing towards them as a group in whatever he's saying, as though he's telling a story which he was part of and in this story he's saying, ""Oh no, you go ahead first"" or ""Here, have some coupons for Subway"" or something like that. ",5,6,5,5,3,2,4,4,4,6,4,4,bk3AuZKZ,2019-07-04-14-43,2019-07-04-14-47,4
s.f09caf75-79dd-4812-87ff-9c21a08dc23d.txt,334666125,1,they came together for the cause that they are working on as a team,4,4,2,3,4,5,3,4,6,6,6,6,UsVjMTea,2019-07-04-14-43,2019-07-04-14-45,2
s.e86c2874-207d-4f0f-beef-19bed3a4c5ad.txt,334666150,2,They are saying that the group should work together and share in the profits of the business and that they are all a team.,7,7,3,3,3,1,5,5,7,7,6,5,B8arjtvf,2019-07-04-14-45,2019-07-04-14-47,2
s.680a43a9-5af0-4842-a707-ccc36805324b.txt,334666369,2,"the person in this video is telling like "" Thanks a lot"" as big thing to people",5,4,5,6,4,6,5,4,4,5,6,6,8N97mGHk,2019-07-04-14-48,2019-07-04-14-54,6
s.96b94834-6ece-4cf3-9751-864556be1a24.txt,334666125,1,vimeo,5,4,5,4,4,4,4,5,4,4,5,5,gKeqLBLe,2019-07-04-14-44,2019-07-04-14-45,1
s.c7f2fffe-4989-405f-86d5-5dc6b6cb9b80.txt,334666150,3,"","","","","","","","","","","","","","",2019-07-04-14-55,"",""
s.da2f26b7-3801-49e2-849f-07cc017a1a79.txt,334666150,3,"","","","","","","","","","","","","","",2019-07-04-14-50,"",""
s.802850df-1b79-4499-959b-27d2c6b4e71d.txt,334666125,3,PLEASE SAVE THE WATER,"","","","","","","","","","","","","",2019-07-04-14-43,"",""
s.d7feabec-c34c-4656-98c0-9b983490abcc.txt,334666100,3,I think they are saying something about giving something to the people based on the arm movement.,4,4,2,2,5,5,5,4,5,5,5,5,cekpE3TX,2019-07-04-14-44,2019-07-04-14-45,1
s.556cacf0-9596-4be1-b975-53f8a2360939.txt,334666125,3,They hope that the group can come together and work closely together. ,6,5,4,5,4,4,3,4,7,7,3,3,Y6OSPuwM,2019-07-04-14-48,2019-07-04-14-50,2
s.24d71fa4-7eb8-4d5d-a0bc-3769cb188d98.txt,334666350,1,This is a great group of people! ,7,4,1,1,7,7,1,1,7,7,7,1,s4fgXUUt,2019-07-04-14-48,2019-07-04-14-50,2
s.b009ae1c-b543-4434-b974-7941ab95a848.txt,334666150,1,making good communication and thinking,3,3,4,4,3,6,4,5,3,5,4,4,zVLpVetm,2019-07-04-14-51,2019-07-04-14-52,1
s.898b8e73-77d4-4e1c-a212-34ecbb5e1f78.txt,334666100,3,"opennes, greatness, together, appreciative, outgoing, great, loved. enjoying laughing",4,2,5,5,4,3,3,3,4,3,5,4,3KkNQxpn,2019-07-04-14-48,2019-07-04-14-51,3
s.3ac36ef4-5cbd-4674-a17c-eb8d7f91dc92.txt,334666100,2,Give me your hands to test!!,"","","","","","","","","","","","","",2019-07-04-14-51,"",""
s.11f213f1-a348-4906-8503-99145f90fa52.txt,334666125,2,Video has no sound either here or at vimeo,4,4,2,4,5,4,4,3,4,4,4,4,2Uuntp6T,2019-07-04-14-43,2019-07-04-14-45,2
s.f1bf2866-cedc-43e4-87c8-d4cc910b7b37.txt,334666395,1,"","","","","","","","","","","","","","",2019-07-04-14-49,"",""
s.962a6c2c-7e82-4460-a3ed-6373a5c7c087.txt,334666395,2,may b its breakup,4,5,5,4,3,6,4,5,5,5,5,4,8tqAjeMV,2019-07-04-14-44,2019-07-04-14-46,2
s.2f704640-3166-4f3c-9a06-28e248cd48ad.txt,334666125,2,"","","","","","","","","","","","","","",2019-07-04-14-43,"",""
s.3908ef11-b52a-4bd0-b751-4279034ccf18.txt,334666100,3,"","","","","","","","","","","","","","",2019-07-04-14-51,"",""
s.7a86718b-c711-4a8b-9eb4-d81d3676e582.txt,334666369,2,larger on scale,5,6,2,3,4,2,5,4,6,4,6,6,VXmbDeT5,2019-07-04-14-44,2019-07-04-14-48,4
s.36c3ad89-a753-4549-831d-7fbd2506548d.txt,334666369,2,Big groups,6,5,4,6,5,5,4,4,5,5,4,6,7MrXpf8P,2019-07-04-14-43,2019-07-04-14-45,2
